Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal
27,95500,100,689,0,665,5000,75200,75200,0.133,Active,0,VA,"53,275",1
34,93000,100,691,0,647,4950,86000,86000,0.130707,Active,0,FL,"40,171",1
34,189003,102,718,0,1339,3900,245000,189003,0.343333,Active,0,CA,"49,894",0
24,144400,95,727,0,845,2753,126000,126000,0.306938,Active,0,MI,"44,476",1
48,83400,97,745,0,2268,6944,550000,83400,0.326613,Active,0,CA,"49,894",0
67,59900,100,641,0,771,6844,95000,59900,0.112653,Active,0,WA,"48,688",0
26,124000,100,702,0,468,4132,67100,67100,0.113262,Active,0,MO,"43,988",1
37,192500,86,751,0,1149,8704,170000,170000,0.132008,Active,0,PA,"44,286",1
37,274500,90,660,0,1448,8840,178000,178000,0.163801,Active,0,TN,"38,550",1
37,260000,80,670,0,669,2818,89000,89000,0.237402,Active,0,ID,"42,519",1
37,209000,95,665,0,2278,5025,400000,209000,0.453362,Active,0,NY,"44,228",0
37,172800,80,661,0,1432,9000,180000,172800,0.159111,Active,0,WI,"47,220",0
31,166950,95,729,0,1933,14293,403000,166950,0.135241,Active,0,KS,"43,725",0
63,175500,90,751,0,1147,10000,280000,175500,0.1147,Active,0,NC,"39,000",0
37,84350,97,645,0,1508,6189,174395,84350,0.243658,Active,0,PA,"44,286",0
36,92150,97,620,0,614,4850,71000,71000,0.126598,Active,0,OK,"38,281",1
46,70800,97,686,0,0,5857,99000,70800,0,Active,0,TX,"41,275",0
46,38800,97,768,0,1435,7000,215000,38800,0.205,Active,0,CO,"51,022",0
32,82900,97,669,0,751,5178,107000,82900,0.145037,Active,0,MD,"56,763",0
25,40850,97,652,0,0,6667,142000,40850,0,Active,0,AR,"33,948",0
30,86050,97,664,0,1478,6980,187000,86050,0.211748,Active,0,DE,"50,152",0
25,140550,97,635,0,568,5013,70000,70000,0.113305,Active,0,TX,"41,275",1
26,83420,97,732,0,1273,5771,153000,83420,0.220586,Active,0,NC,"39,000",0
37,289750,95,670,0,324,1056,80000,80000,0.306818,Active,0,FL,"40,171",1
37,288000,66,665,0,0,1058,65000,65000,0,Active,0,FL,"40,171",1
37,240000,80,760,0,0,9291,345000,240000,0,Active,0,HI,"53,123",0
37,218500,95,672,0,0,2632,147000,147000,0,Active,0,AZ,"42,590",1
37,260000,80,743,0,1726,9360,340000,260000,0.184402,Active,0,NY,"44,228",0
37,104400,90,783,0,1936,9500,295000,104400,0.203789,Active,0,TX,"41,275",0
56,322700,88,658,0,3481,5025,350000,322700,0.69278,Active,0,NY,"44,228",0
33,71725,95,661,0,0,8333,178679,71725,0,Active,0,WI,"47,220",0
27,107900,92,745,0,0,3673,250481,107900,0,Active,0,CA,"49,894",0
58,46075,95,755,0,1110,5000,180000,46075,0.222,Active,0,IL,"45,787",0
25,110200,95,660,0,1671,5900,260000,110200,0.28322,Active,0,CA,"49,894",0
36,170905,95,664,0,339,2500,90000,90000,0.1356,Active,0,OK,"38,281",1
33,151500,83,670,0,1292,4675,295000,151500,0.276364,Active,0,WI,"47,220",0
26,111550,97,753,0,445,5334,60000,60000,0.083427,Active,0,NC,"39,000",1
26,118900,88,683,0,858,4250,149000,118900,0.201882,Active,0,CA,"49,894",0
24,114007,90,681,0,1646,6667,190000,114007,0.246888,Active,0,FL,"40,171",0
27,109610,97,666,0,1728,7000,251000,109610,0.246857,Active,0,TX,"41,275",0
25,177982,90,668,0,1960,22105,310000,177982,0.088668,Active,0,PA,"44,286",0
45,62000,93,757,0,908,5492,127000,62000,0.165331,Active,0,PA,"44,286",0
37,105000,100,730,0,783,4583,110000,105000,0.170849,Active,0,PA,"44,286",0
37,120850,100,713,0,0,9644,182000,120850,0,Active,0,AZ,"42,590",0
37,46291,85,734,0,868,4700,134000,46291,0.184681,Active,0,CA,"49,894",0
37,73950,85,703,0,0,7188,450453,73950,0,Active,0,CA,"49,894",0
32,151050,95,747,0,1159,3500,250000,151050,0.331143,Active,0,MD,"56,763",0
36,285000,75,730,0,595,3000,75000,75000,0.198333,Active,0,NC,"39,000",1
27,184000,80,692,0,0,3349,85000,85000,0,Active,0,FL,"40,171",1
54,136770,97,662,0,1626,5600,300000,136770,0.290357,Active,0,NJ,"56,772",0
23,76900,95,691,0,0,8250,350000,76900,0,Active,0,CA,"49,894",0
27,100750,97,697,0,1882,4500,470000,100750,0.418222,Active,0,CA,"49,894",0
25,112500,90,675,0,864,3708,147000,112500,0.23301,Active,0,OH,"44,160",0
34,240400,90,705,0,1009,3500,395000,240400,0.288286,Active,0,CA,"49,894",0
48,166100,95,658,0,888,2279,171500,166100,0.389645,Active,0,MD,"56,763",0
47,77400,95,661,0,2204,4850,350000,77400,0.454433,Active,0,CO,"51,022",0
28,130140,95,685,0,1230,6000,159000,130140,0.205,Active,0,TX,"41,275",0
29,68400,95,710,0,2174,7500,278000,68400,0.289867,Active,0,NM,"37,587",0
36,149150,95,718,0,546,3333,76600,76600,0.163816,Active,0,WI,"47,220",1
27,160350,100,637,0,3284,5025,164500,160350,0.653574,Active,0,NC,"39,000",0
52,62900,90,720,0,985,3600,172000,62900,0.273611,Active,0,TX,"41,275",0
30,88200,90,782,0,1041,6566,125000,88200,0.158544,Active,0,OR,"42,617",0
49,111600,80,797,0,1179,4961,294760,111600,0.237654,Active,0,VA,"53,275",0
28,77900,93,700,0,991,5550,170000,77900,0.178559,Active,0,MA,"52,354",0
19,62080,97,676,0,644,8350,99000,62080,0.077126,Active,0,TX,"41,275",0
36,130500,90,640,0,1193,4403,176083,130500,0.270952,Active,0,OR,"42,617",0
34,124900,95,732,0,865,3500,390000,124900,0.247143,Active,0,CO,"51,022",0
37,242250,95,661,0,458,2500,66500,66500,0.1832,Active,0,IL,"45,787",1
29,180000,90,726,0,1639,16000,255000,180000,0.102438,Active,0,VA,"53,275",0
42,260000,80,691,0,1935,11500,290000,260000,0.168261,Active,0,IN,"43,003",0
54,142200,90,732,0,926,3893,110000,110000,0.237863,Active,0,CO,"51,022",1
44,123400,95,672,0,1022,5000,152000,123400,0.2044,Active,0,OH,"44,160",0
27,79900,100,675,0,1315,7200,190000,79900,0.182639,Active,0,WA,"48,688",0
37,234000,95,696,0,717,2775,170000,170000,0.258378,Active,0,MI,"44,476",1
44,189000,95,637,0,720,3609,84921,84921,0.199501,Active,0,MO,"43,988",1
53,179450,97,690,0,793,5000,155916,155916,0.1586,Active,0,NE,"44,623",1
48,114000,88,696,0,1435,4000,186196,114000,0.35875,Active,0,ID,"42,519",0
44,239888,89,743,0,618,2065,70000,70000,0.299274,Active,0,LA,"35,523",1
39,149150,95,764,0,1498,4608,208000,149150,0.325087,Active,0,NV,"46,984",0
25,236489,95,716,0,956,4000,137000,137000,0.239,Active,0,UT,"50,614",1
33,168000,90,706,0,847,4040,135000,135000,0.209653,Active,0,TN,"38,550",1
58,92000,74,604,0,561,2944,82000,82000,0.190557,Active,0,MO,"43,988",1
27,150646,95,612,0,1253,3669,176505,150646,0.34151,Active,0,WA,"48,688",0
26,104500,95,666,0,673,5000,124000,104500,0.1346,Active,0,IN,"43,003",0
45,142000,88,671,0,1125,6100,122000,122000,0.184426,Active,0,IL,"45,787",1
26,129922,95,674,0,1018,4300,132000,129922,0.236744,Active,0,OR,"42,617",0
24,128250,95,611,0,695,4235,101000,101000,0.164109,Active,0,MO,"43,988",1
42,99750,95,706,0,1462,4667,216000,99750,0.313263,Active,0,CO,"51,022",0
28,195290,95,687,0,669,3058,75000,75000,0.21877,Active,0,VA,"53,275",1
45,100000,68,788,0,1154,5500,187000,100000,0.209818,Active,0,TX,"41,275",0
25,60750,90,673,0,0,8385,233000,60750,0,Active,0,CA,"49,894",0
50,80750,95,676,0,1589,6612,200000,80750,0.240321,Active,0,TX,"41,275",0
46,117900,90,723,0,680,6364,104000,104000,0.106851,Active,0,TX,"41,275",1
39,128250,95,729,0,672,2900,82000,82000,0.231724,Active,0,FL,"40,171",1
35,201305,95,699,0,959,3800,150000,150000,0.252368,Active,0,CA,"49,894",1
53,163668,90,665,0,757,2458,120000,120000,0.307974,Active,0,NC,"39,000",1
32,117900,90,672,0,1208,5000,166000,117900,0.2416,Active,0,NC,"39,000",0
36,83100,95,682,0,1304,5000,212000,83100,0.2608,Active,0,NC,"39,000",0
32,123500,95,673,0,633,3800,80000,80000,0.166579,Active,0,LA,"35,523",1
25,128250,95,664,0,366,2872,78000,78000,0.127437,Active,0,CA,"49,894",1
26,93000,95,756,0,2333,3284,270000,93000,0.710414,Active,0,NJ,"56,772",0
37,113537,25,729,0,490,2158,87000,87000,0.227062,Active,0,AR,"33,948",1
37,109500,80,734,0,0,4502,172000,109500,0,Active,0,AZ,"42,590",0
37,63750,75,695,0,0,8000,280000,63750,0,Active,0,WA,"48,688",0
39,216000,90,701,0,802,3188,108000,108000,0.251568,Active,0,FL,"40,171",1
29,114000,95,678,0,788,4100,120000,114000,0.192195,Active,0,MI,"44,476",0
37,70000,100,735,0,748,5390,96000,70000,0.138776,Active,0,TN,"38,550",0
37,320000,93,677,0,728,2382,77040,77040,0.305626,Active,0,WA,"48,688",1
27,152000,95,741,0,956,4543,235000,152000,0.210434,Active,0,NY,"44,228",0
37,297000,90,721,0,543,2900,74990,74990,0.187241,Active,0,FL,"40,171",1
43,235000,78,702,0,1330,11254,164000,164000,0.11818,Active,0,VA,"53,275",1
27,265500,90,763,0,1162,2686,140000,140000,0.432614,Active,0,PA,"44,286",1
34,161100,90,694,0,978,3080,155000,155000,0.317532,Active,0,OR,"42,617",1
22,208575,90,660,0,881,4000,93000,93000,0.22025,Active,0,TX,"41,275",1
30,232000,80,641,0,386,1993,50383,50383,0.193678,Active,0,KS,"43,725",1
34,212000,80,668,0,1389,4295,184000,184000,0.323399,Active,0,MD,"56,763",1
42,295200,90,660,0,2844,5025,385000,295200,0.566006,Active,0,NY,"44,228",0
48,190000,95,707,0,921,3300,137500,137500,0.279091,Active,0,OR,"42,617",1
30,110492,80,736,0,1334,5763,226000,110492,0.231477,Active,0,OR,"42,617",0
29,110200,95,708,0,2211,16233,325000,110200,0.136204,Active,0,TX,"41,275",0
32,119250,75,708,0,1751,14000,245000,119250,0.125071,Active,0,NY,"44,228",0
46,123500,95,695,0,1418,10900,223500,123500,0.130092,Active,0,CO,"51,022",0
41,240000,75,682,0,0,11817,297000,240000,0,Active,0,CO,"51,022",0
73,80000,48,679,0,628,3432,85000,80000,0.182984,Active,0,TX,"41,275",0
54,165000,100,675,0,470,1859,58000,58000,0.252824,Active,0,IA,"43,042",1
37,68800,99,614,0,1777,5321,215000,68800,0.33396,Active,0,TX,"41,275",0
32,104500,70,782,0,2607,14000,398000,104500,0.186214,Active,0,OH,"44,160",0
25,147200,80,788,0,2063,24409,525000,147200,0.084518,Active,0,VA,"53,275",0
67,88000,80,616,0,1026,5065,122000,88000,0.202567,Active,0,MD,"56,763",0
40,135000,44,666,0,0,12000,305000,135000,0,Active,0,NY,"44,228",0
38,313025,95,648,0,1502,5025,400000,313025,0.298924,Active,0,NJ,"56,772",0
32,150000,89,681,0,1308,3650,230000,150000,0.358356,Active,0,CA,"49,894",0
40,152000,95,662,0,973,4441,130000,130000,0.219095,Active,0,MT,"35,201",1
40,145000,100,772,0,1120,1836,19700,20000,0.610022,Active,0,MO,"43,988",1
37,188000,80,692,1,452,1068,20200,20000,0.423221,Active,0,AL,"38,111",1
32,65000,100,686,1,1256,3629,25000,23000,0.346101,Active,0,LA,"35,523",1
29,222250,99,608,0,617,1662,23500,23500,0.371239,Active,0,PA,"44,286",1
37,131310,92,613,1,468,1266,25000,23900,0.369668,Active,0,TX,"41,275",1
37,180670,102,791,0,214,2340,25000,25000,0.091453,Active,0,NC,"39,000",1
27,248000,90,703,0,601,2093,30000,28000,0.287148,Active,0,OH,"44,160",1
33,244900,100,668,1,673,1224,29000,29000,0.549837,Active,0,OH,"44,160",1
36,239350,95,732,0,253,2416,29000,29000,0.104719,Active,0,TN,"38,550",1
37,175750,95,705,1,598,1785,34000,29900,0.335014,Active,0,PA,"44,286",1
25,169587,95,791,0,561,2109,30500,29901,0.266003,Active,0,TX,"41,275",1
36,107000,111,740,0,2282,5350,30000,30000,0.426542,Active,0,SC,"39,326",1
47,304000,95,651,1,561,1438,33000,30000,0.390125,Active,0,PA,"44,286",1
62,124000,80,642,0,468,1560,31000,30000,0.3,Active,0,MI,"44,476",1
46,84455,95,720,0,709,2445,44000,30032,0.28998,Active,0,OH,"44,160",1
38,193767,90,681,0,218,1581,30500,30500,0.137887,Active,0,VA,"53,275",1
29,228745,95,610,1,533,1948,35000,31000,0.273614,Active,0,KS,"43,725",1
41,261000,90,745,0,286,1685,32000,31000,0.169733,Active,0,PA,"44,286",1
24,155500,100,739,1,578,1906,32000,32000,0.303253,Active,0,IA,"43,042",1
32,119000,100,779,0,427,1333,32000,32000,0.32033,Active,0,PA,"44,286",1
40,226131,102,759,1,785,1329,38000,32000,0.59067,Active,0,CT,"55,970",1
45,158600,95,701,1,537,3552,35000,32000,0.151182,Active,0,PA,"44,286",1
24,149050,97,660,0,1095,4547,40000,32844,0.240818,Active,0,TX,"41,275",1
31,226800,100,706,1,468,1160,33000,33000,0.403448,Active,0,KS,"43,725",1
42,187000,100,736,0,896,3156,46000,33500,0.283904,Active,0,TN,"38,550",1
50,183806,85,644,1,561,1349,34000,33900,0.415864,Active,0,LA,"35,523",1
37,102000,100,660,1,649,2600,35000,34000,0.249615,Active,0,TX,"41,275",1
34,166250,95,693,0,337,1473,35000,34000,0.228785,Active,0,MO,"43,988",1
40,216000,90,685,0,784,2500,34500,34400,0.3136,Active,0,ID,"42,519",1
29,261000,90,699,1,509,2040,39000,34500,0.24951,Active,0,MO,"43,988",1
31,164800,97,660,0,561,2465,52000,35000,0.227586,Active,0,OH,"44,160",1
54,174000,100,660,0,601,1430,36500,35000,0.42028,Active,0,PA,"44,286",1
26,160000,94,642,0,774,2763,39000,35000,0.28013,Active,0,PA,"44,286",1
34,126900,94,684,1,491,1301,35000,35000,0.377402,Active,0,LA,"35,523",1
52,115200,80,561,1,347,1872,37000,35000,0.185363,Active,0,KS,"43,725",1
52,178000,83,769,0,284,1625,46000,35000,0.174769,Active,0,MI,"44,476",1
47,224500,74,675,0,664,2496,35000,35000,0.266026,Active,0,PA,"44,286",1
24,172550,102,753,0,742,1714,35001,35001,0.432905,Active,0,IL,"45,787",1
37,381600,90,648,0,325,1623,39000,36000,0.200246,Active,0,PA,"44,286",1
37,152800,80,628,1,1089,2917,37000,36000,0.373329,Active,0,IN,"43,003",1
33,179550,90,573,1,821,2142,41000,36000,0.383287,Active,0,KS,"43,725",1
32,213139,102,642,0,633,1622,40000,36100,0.390259,Active,0,PA,"44,286",1
21,204300,90,642,0,969,3176,38000,36800,0.305101,Active,0,AL,"38,111",1
37,164400,100,652,0,784,1350,39000,37000,0.580741,Active,0,MO,"43,988",1
38,197700,99,751,0,1411,3320,37500,37000,0.425,Active,0,NY,"44,228",1
28,90000,100,738,0,1798,4417,70000,37001,0.407064,Active,0,CA,"49,894",1
37,108000,79,721,0,943,2234,38000,38000,0.422113,Active,0,TX,"41,275",1
32,261300,90,616,0,903,2752,38002,38001,0.328125,Active,0,IA,"43,042",1
52,180400,95,664,0,1675,1844,39002,39001,0.908351,Active,0,NE,"44,623",1
37,127500,100,609,1,484,1343,50000,39500,0.360387,Active,0,LA,"35,523",1
59,122000,80,600,1,455,1370,59500,39900,0.332117,Active,0,KS,"43,725",1
40,269990,102,762,0,326,2300,43500,40000,0.141739,Active,0,AZ,"42,590",1
55,155000,95,621,0,1132,2078,40000,40000,0.544755,Active,0,OH,"44,160",1
37,138800,80,660,0,338,2253,40000,40000,0.150022,Active,0,PA,"44,286",1
40,118750,95,666,0,368,1516,62000,40001,0.242744,Active,0,VA,"53,275",1
36,211612,85,741,0,950,1570,65000,40001,0.605096,Active,0,MO,"43,988",1
27,179000,100,615,1,638,2166,40100,40100,0.294552,Active,0,NM,"37,587",1
37,165000,100,787,1,736,2379,51000,41000,0.309374,Active,0,TX,"41,275",1
35,178600,95,726,0,1379,2750,50500,41200,0.501455,Active,0,IL,"45,787",1
39,177000,100,532,0,394,1270,45000,42000,0.310236,Active,0,TN,"38,550",1
38,212000,80,765,0,383,1742,42000,42000,0.219862,Active,0,PA,"44,286",1
48,138900,99,779,0,316,2111,46500,42000,0.149692,Active,0,KY,"37,396",1
45,111600,90,682,0,1110,2463,48000,42000,0.45067,Active,0,NC,"39,000",1
30,189000,97,609,1,756,1993,56000,42000,0.379328,Active,0,TX,"41,275",1
61,284050,95,660,0,684,2443,45000,42122,0.279984,Active,0,NJ,"56,772",1
66,207000,90,705,1,323,1235,72000,42500,0.261538,Active,0,GA,"43,217",1
46,256000,80,576,1,1007,2564,50000,42500,0.392746,Active,0,IA,"43,042",1
25,271320,95,640,1,402,1560,45000,42800,0.257692,Active,0,MO,"43,988",1
37,116000,100,659,0,278,3569,43400,43400,0.077893,Active,0,TN,"38,550",1
33,210000,84,641,1,686,1917,43500,43500,0.357851,Active,0,PA,"44,286",1
30,306530,102,735,1,1174,1728,44500,43500,0.679398,Active,0,IN,"43,003",1
44,177500,80,570,1,1225,2930,47000,43610,0.418089,Active,0,NC,"39,000",1
37,168000,80,669,0,389,1515,47100,43800,0.256766,Active,0,OH,"44,160",1
30,256500,95,764,0,1322,2163,43900,43900,0.611188,Active,0,KY,"37,396",1
30,280400,97,597,0,730,1381,44000,44000,0.528602,Active,0,IL,"45,787",1
31,102600,95,683,1,733,2073,44500,44000,0.353594,Active,0,TX,"41,275",1
31,167529,87,756,0,650,2499,46000,44001,0.260104,Active,0,TN,"38,550",1
47,144880,100,664,1,464,1242,49000,44200,0.373591,Active,0,MN,"55,914",1
37,86700,88,667,1,899,1418,45800,44500,0.633992,Active,0,TX,"41,275",1
41,110000,100,750,1,383,2643,45000,45000,0.144911,Active,0,SC,"39,326",1
47,246900,100,682,0,1756,3193,47000,45000,0.549953,Active,0,WA,"48,688",1
33,268800,80,594,0,534,1511,45000,45000,0.353408,Active,0,FL,"40,171",1
37,204000,80,657,0,433,1733,69000,45000,0.249856,Active,0,PA,"44,286",1
39,213750,95,689,0,405,1129,45000,45000,0.358725,Active,0,NC,"39,000",1
37,157410,90,602,1,740,1560,45000,45000,0.474359,Active,0,MD,"56,763",1
28,211432,95,683,0,751,1355,46800,45000,0.554244,Active,0,MS,"33,659",1
27,152000,95,731,0,662,2702,50000,45000,0.245004,Active,0,TX,"41,275",1
37,108000,100,749,0,1332,2189,62000,45000,0.608497,Active,0,NM,"37,587",1
31,205900,95,575,0,586,1413,45000,45000,0.41472,Active,0,IL,"45,787",1
20,196650,95,628,1,752,3697,45500,45000,0.203408,Active,0,KS,"43,725",1
46,238000,90,770,0,647,1863,45000,45000,0.347289,Active,0,OH,"44,160",1
27,260091,84,730,0,1049,2740,58500,45000,0.382847,Active,0,MS,"33,659",1
42,315000,90,680,1,989,2427,46000,45000,0.407499,Active,0,KS,"43,725",1
24,252000,100,793,0,573,1000,49000,45000,0.573,Active,0,FL,"40,171",1
45,177700,95,625,0,855,2218,45000,45000,0.385482,Active,0,KS,"43,725",1
32,127900,80,730,0,1157,4388,51000,45000,0.263674,Active,0,OH,"44,160",1
28,235450,85,793,1,380,1187,45000,45000,0.320135,Active,0,IL,"45,787",1
30,194650,80,654,1,763,3380,45000,45000,0.22574,Active,0,PA,"44,286",1
46,228950,95,678,0,994,2672,55000,45001,0.372006,Active,0,IL,"45,787",1
37,159500,94,631,0,645,3566,45500,45446,0.180875,Active,0,OH,"44,160",1
46,143500,100,678,0,440,3000,47000,45500,0.146667,Active,0,OH,"44,160",1
45,118316,80,734,1,281,1622,51000,45580,0.173243,Active,0,SC,"39,326",1
37,213000,91,703,0,518,2252,45900,45900,0.230018,Active,0,PA,"44,286",1
34,126350,95,681,0,394,3959,45000,45900,0.09952,Active,0,OH,"44,160",1
29,274000,95,576,1,368,2237,46000,45900,0.164506,Active,0,PA,"44,286",1
