Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI_Ratio,Status,OUTCOME,State,Median_state_inc,UPB_Appraisal,F_OUTCOME,I_OUTCOME,P_0,P_1
3,5,5,4,0,1,2,3,4,1,Active,0,WA,7,1,0,0,0.9592246932,0.0407753068
8,1,8,3,0,1,3,1,1,1,Active,0,TX,2,0,0,0,0.9509221477,0.0490778523
4,2,8,4,0,0,0,2,2,0,Active,0,PA,5,0,0,0,0.9536206577,0.0463793423
0,3,8,9,0,3,3,8,3,4,Active,0,CO,8,0,0,0,0.9878409037,0.0121590963
2,0,8,6,0,2,4,5,0,1,Active,0,WI,7,0,0,0,0.9754151846,0.0245848154
6,1,6,4,0,3,8,6,1,0,Active,0,OH,5,0,0,0,0.9685476021,0.0314523979
7,4,8,4,0,4,4,9,4,4,Active,0,CO,8,0,0,0,0.9724002094,0.0275997906
8,1,8,5,0,3,6,7,1,1,Active,0,MN,9,0,0,0,0.9739501153,0.0260498847
3,8,8,3,0,1,2,6,6,2,Active,0,CO,8,1,0,0,0.9509221477,0.0490778523
8,7,2,8,0,8,6,4,5,8,Active,0,TX,2,1,0,0,0.9924348117,0.0075651883
1,4,8,4,0,2,9,4,4,0,Active,0,AZ,3,0,0,0,0.9641770275,0.0358229725
8,1,8,3,0,0,8,2,1,0,Active,0,TX,2,0,0,0,0.9442433624,0.0557566376
0,0,8,1,0,4,9,7,0,0,Active,0,MO,4,0,0,0,0.9516571387,0.0483428613
8,2,1,2,0,0,3,0,0,0,Active,0,TN,0,1,0,0,0.9331031037,0.0668968963
4,9,8,5,0,5,4,7,7,5,Active,0,NY,5,1,0,0,0.97997647,0.02002353
1,8,6,3,0,0,0,1,1,3,Active,0,AZ,3,1,0,0,0.9442433624,0.0557566376
4,6,8,9,0,0,3,6,5,0,Active,0,VA,8,0,0,0,0.9818992174,0.0181007826
2,7,8,5,0,7,6,9,7,7,Active,0,NY,5,0,0,0,0.9846306936,0.0153693064
7,9,8,5,0,4,2,8,8,6,Active,0,CA,7,1,0,0,0.9771565759,0.0228434241
5,3,8,4,0,3,7,7,2,1,Active,0,MN,9,0,0,0,0.9685476021,0.0314523979
8,8,8,5,0,9,8,4,4,8,Active,0,NC,0,1,0,0,0.9882161086,0.0117838914
9,8,8,4,0,1,3,2,2,1,Active,0,TN,0,1,0,0,0.9592246932,0.0407753068
0,6,8,2,0,7,9,9,6,2,Active,0,NJ,9,0,0,0,0.9728227374,0.0271772626
0,5,8,5,0,1,6,3,3,0,Active,0,TX,2,1,0,0,0.9661726537,0.0338273463
3,4,8,4,0,2,7,5,3,0,Active,0,KS,4,0,0,0,0.9641770275,0.0358229725
7,7,5,4,0,2,3,7,7,2,Active,0,DC,3,1,0,0,0.9641770275,0.0358229725
4,4,6,8,0,2,6,4,4,0,Active,0,NV,7,0,0,0,0.9831892472,0.0168107528
9,3,6,4,0,5,8,2,2,1,Active,0,TX,2,0,0,0,0.975792705,0.024207295
1,7,8,6,0,0,5,2,2,0,Active,0,CO,8,1,0,0,0.9680607902,0.0319392098
3,1,8,4,0,0,2,1,1,0,Active,0,NM,0,0,0,0,0.9536206577,0.0463793423
2,7,8,3,0,0,2,2,2,1,Active,0,NC,0,1,0,0,0.9442433624,0.0557566376
2,9,8,7,0,9,0,5,5,9,Active,0,NY,5,1,0,0,0.9919756399,0.0080243601
0,4,8,9,0,1,8,5,4,0,Active,0,TX,2,0,0,0,0.9841431591,0.0158568409
8,3,8,4,0,2,8,4,3,0,Active,0,AZ,3,0,0,0,0.9641770275,0.0358229725
9,2,8,6,0,2,5,9,2,1,Active,0,CA,7,0,0,0,0.9754151846,0.0245848154
0,0,4,7,0,0,7,2,0,0,Active,0,MO,4,0,0,0,0.9735446381,0.0264553619
4,7,4,5,0,2,6,3,4,1,Active,0,PA,5,1,0,0,0.9703072504,0.0296927496
9,4,8,1,0,3,7,5,4,0,Active,0,MD,9,0,0,0,0.9450725976,0.0549274024
2,6,8,5,0,8,5,4,4,8,Active,0,UT,8,1,0,0,0.9865406577,0.0134593423
5,9,8,3,0,5,6,9,8,4,Active,0,NY,5,0,0,0,0.9707608562,0.0292391438
2,9,8,8,0,0,4,0,0,0,Active,0,VA,8,1,0,0,0.9781082214,0.0218917786
5,2,9,7,0,4,3,3,1,5,Active,0,AZ,3,0,0,0,0.9843887993,0.0156112007
3,2,8,6,0,3,8,6,2,0,Active,0,VA,8,0,0,0,0.9784453019,0.0215546981
5,5,8,3,0,0,3,2,2,0,Active,0,PA,5,1,0,0,0.9442433624,0.0557566376
0,6,8,4,0,1,5,4,4,0,Active,0,CA,7,1,0,0,0.9592246932,0.0407753068
2,4,8,3,0,2,3,6,4,3,Active,0,CA,7,0,0,0,0.9568374871,0.0431625129
7,4,8,7,0,3,3,8,4,5,Active,0,UT,8,0,0,0,0.9821789893,0.0178210107
2,5,8,4,0,7,4,3,4,8,Active,0,AZ,3,1,0,0,0.9814009369,0.0185990631
3,9,9,8,0,9,1,2,2,9,Active,0,OR,3,1,0,0,0.9933814667,0.0066185333
7,8,8,7,0,0,4,2,2,0,Active,0,NC,0,1,0,0,0.9735446381,0.0264553619
2,9,6,6,0,3,6,6,7,1,Active,0,TX,2,1,0,0,0.9784453019,0.0215546981
7,2,5,6,0,3,8,5,1,0,Active,0,CA,7,0,0,0,0.9784453019,0.0215546981
9,1,8,4,0,4,9,8,1,0,Active,0,CA,7,0,0,0,0.9724002094,0.0275997906
0,1,5,5,0,1,8,2,1,0,Active,0,WI,7,0,0,0,0.9661726537,0.0338273463
2,6,8,4,0,3,5,8,5,2,Active,0,MN,9,0,0,0,0.9685476021,0.0314523979
7,4,8,3,0,1,1,7,4,2,Active,0,AZ,3,0,0,0,0.9509221477,0.0490778523
2,3,8,3,0,4,6,9,3,2,Active,0,NY,5,0,0,0,0.9666872539,0.0333127461
7,1,8,7,0,1,3,3,1,1,Active,0,WY,4,0,0,0,0.9767998197,0.0232001803
3,3,9,7,0,4,4,8,2,3,Active,0,CO,8,0,0,0,0.9843887993,0.0156112007
5,6,1,9,0,2,2,8,6,3,Active,0,MA,8,0,0,0,0.9861128553,0.0138871447
4,8,9,5,0,0,3,1,1,0,Active,0,IA,3,1,0,0,0.9614851836,0.0385148164
3,2,9,5,0,5,6,9,2,3,Active,0,NY,5,0,0,0,0.97997647,0.02002353
5,0,1,7,0,1,5,4,0,0,Active,0,MD,9,0,0,0,0.9767998197,0.0232001803
3,7,9,2,0,1,1,6,6,3,Active,0,CA,7,1,0,0,0.9410329863,0.0589670137
1,2,8,5,0,0,5,0,0,0,Active,0,VA,8,1,0,0,0.9614851836,0.0385148164
3,1,8,5,0,0,5,1,1,0,Active,0,FL,1,1,0,0,0.9614851836,0.0385148164
3,7,9,6,0,3,3,8,6,3,Active,0,CA,7,0,0,0,0.9784453019,0.0215546981
0,5,4,7,0,0,1,3,3,2,Active,0,MI,6,1,0,0,0.9735446381,0.0264553619
8,1,5,7,0,7,8,9,1,3,Active,0,CA,7,0,0,0,0.9895219866,0.0104780134
9,0,8,2,0,0,8,1,0,0,Active,0,WA,7,0,0,0,0.9331031037,0.0668968963
1,3,8,5,0,0,4,0,0,0,Active,0,MO,4,1,0,0,0.9614851836,0.0385148164
5,7,1,8,0,2,9,5,6,0,Active,0,PA,5,1,0,0,0.9831892472,0.0168107528
5,9,2,3,0,3,9,6,6,0,Active,0,TN,0,1,0,0,0.9620682925,0.0379317075
5,9,1,3,0,0,1,1,1,1,Active,0,ID,3,1,0,0,0.9442433624,0.0557566376
5,8,4,3,0,7,6,9,7,6,Active,0,NY,5,0,0,0,0.9775079725,0.0224920275
5,6,1,3,0,3,9,6,6,0,Active,0,WI,7,0,0,0,0.9620682925,0.0379317075
2,6,4,7,0,6,9,9,6,0,Active,0,KS,4,0,0,0,0.9880299584,0.0119700416
9,6,2,8,0,2,9,8,6,0,Active,0,NC,0,0,0,0,0.9831892472,0.0168107528
5,1,5,2,0,4,7,6,1,1,Active,0,PA,5,0,0,0,0.9598405962,0.0401594038
4,1,5,1,0,0,5,0,0,0,Active,0,OK,0,1,0,0,0.9199257618,0.0800742382
8,0,5,4,0,2,7,1,0,0,Active,0,TX,2,0,0,0,0.9641770275,0.0358229725
8,0,5,8,0,3,8,7,0,0,Active,0,CO,8,0,0,0,0.985275663,0.014724337
3,1,5,3,0,0,6,2,1,0,Active,0,MD,9,0,0,0,0.9442433624,0.0557566376
0,0,5,2,0,0,8,4,0,0,Active,0,AR,0,0,0,0,0.9331031037,0.0668968963
2,1,5,3,0,4,8,6,1,0,Active,0,DE,8,0,0,0,0.9666872539,0.0333127461
0,4,5,1,0,0,5,0,0,0,Active,0,TX,2,1,0,0,0.9199257618,0.0800742382
1,1,5,7,0,2,7,4,1,1,Active,0,NC,0,0,0,0,0.9796628368,0.0203371632
5,9,4,3,0,0,0,0,1,2,Active,0,FL,1,1,0,0,0.9442433624,0.0557566376
5,9,0,3,0,9,0,0,0,9,Active,0,FL,1,1,0,0,0.9827258541,0.0172741459
5,8,1,8,0,9,9,9,8,5,Active,0,HI,8,0,0,0,0.9933814667,0.0066185333
5,8,4,3,0,9,1,4,4,9,Active,0,AZ,3,1,0,0,0.9827258541,0.0172741459
5,9,1,7,0,5,9,9,8,0,Active,0,NY,5,0,0,0,0.9863284065,0.0136715935
5,2,2,9,0,6,9,9,2,0,Active,0,TX,2,0,0,0,0.9918483891,0.0081516109
9,9,1,3,0,9,6,9,9,9,Active,0,NY,5,0,0,0,0.9827258541,0.0172741459
3,0,4,3,0,2,9,6,0,0,Active,0,WI,7,0,0,0,0.9568374871,0.0431625129
1,2,3,7,0,5,3,8,2,7,Active,0,CA,7,0,0,0,0.9863284065,0.0136715935
9,0,4,8,0,2,5,6,0,1,Active,0,IL,6,0,0,0,0.9831892472,0.0168107528
0,2,4,3,0,4,7,8,2,2,Active,0,CA,7,0,0,0,0.9666872539,0.0333127461
4,6,4,3,0,0,1,1,1,0,Active,0,OK,0,1,0,0,0.9442433624,0.0557566376
3,5,1,3,0,3,5,9,5,2,Active,0,WI,7,0,0,0,0.9620682925,0.0379317075
1,2,5,8,0,0,6,0,0,0,Active,0,NC,0,1,0,0,0.9781082214,0.0218917786
1,3,1,4,0,1,4,4,3,0,Active,0,CA,7,0,0,0,0.9592246932,0.0407753068
0,3,2,4,0,4,8,6,2,1,Active,0,FL,1,0,0,0,0.9724002094,0.0275997906
1,2,5,3,0,5,8,8,2,1,Active,0,TX,2,0,0,0,0.9707608562,0.0292391438
0,6,2,3,0,6,9,9,6,0,Active,0,PA,5,0,0,0,0.9743495415,0.0256504585
8,0,3,8,0,1,6,3,0,0,Active,0,PA,5,0,0,0,0.9808129468,0.0191870532
5,2,8,7,0,0,4,2,2,0,Active,0,PA,5,0,0,0,0.9735446381,0.0264553619
5,3,8,6,0,6,9,6,3,0,Active,0,AZ,3,0,0,0,0.9855040178,0.0144959822
5,0,1,7,0,1,5,3,0,0,Active,0,CA,7,0,0,0,0.9767998197,0.0232001803
5,0,1,5,0,2,8,9,0,0,Active,0,CA,7,0,0,0,0.9703072504,0.0296927496
3,5,4,7,0,2,2,8,5,3,Active,0,MD,9,0,0,0,0.9796628368,0.0203371632
4,9,0,7,0,0,2,0,0,0,Active,0,NC,0,1,0,0,0.9735446381,0.0264553619
1,7,1,5,0,8,2,1,1,9,Active,0,FL,1,1,0,0,0.9865406577,0.0134593423
9,4,5,3,0,4,7,9,4,2,Active,0,NJ,9,0,0,0,0.9666872539,0.0333127461
0,1,4,5,0,2,9,9,0,0,Active,0,CA,7,0,0,0,0.9703072504,0.0296927496
1,2,5,5,0,5,4,9,2,5,Active,0,CA,7,0,0,0,0.97997647,0.02002353
0,3,2,4,0,1,3,4,2,1,Active,0,OH,5,0,0,0,0.9592246932,0.0407753068
3,8,2,5,0,1,2,9,8,2,Active,0,CA,7,0,0,0,0.9661726537,0.0338273463
8,6,4,3,0,1,0,5,6,5,Active,0,MD,9,0,0,0,0.9509221477,0.0490778523
8,1,4,3,0,6,5,9,0,6,Active,0,CO,8,0,0,0,0.9743495415,0.0256504585
1,4,4,4,0,2,7,5,3,0,Active,0,TX,2,0,0,0,0.9641770275,0.0358229725
2,0,4,6,0,6,8,8,0,2,Active,0,NM,0,0,0,0,0.9855040178,0.0144959822
4,5,4,6,0,0,2,0,0,0,Active,0,WI,7,1,0,0,0.9680607902,0.0319392098
1,6,8,2,0,9,6,5,5,9,Active,0,NC,0,0,0,0,0.979104303,0.020895697
9,0,2,6,0,1,3,5,0,1,Active,0,TX,2,0,0,0,0.9719713016,0.0280286984
2,1,2,9,0,1,8,3,1,0,Active,0,OR,3,0,0,0,0.9841431591,0.0158568409
8,2,1,9,0,2,5,9,2,1,Active,0,VA,8,0,0,0,0.9861128553,0.0138871447
1,1,3,5,0,1,7,5,0,0,Active,0,MA,8,0,0,0,0.9661726537,0.0338273463
0,0,5,4,0,0,9,1,0,0,Active,0,TX,2,0,0,0,0.9536206577,0.0463793423
4,4,2,2,0,2,4,6,3,1,Active,0,OR,3,0,0,0,0.9480751782,0.0519248218
3,3,4,7,0,1,2,9,3,1,Active,0,CO,8,0,0,0,0.9767998197,0.0232001803
5,8,4,3,0,0,1,0,0,0,Active,0,IL,6,1,0,0,0.9442433624,0.0557566376
2,7,2,6,0,4,9,8,6,0,Active,0,VA,8,0,0,0,0.9811091854,0.0188908146
7,9,1,5,0,6,9,9,8,0,Active,0,IN,3,0,0,0,0.9824545141,0.0175454859
9,5,2,7,0,1,3,2,2,1,Active,0,CO,8,1,0,0,0.9767998197,0.0232001803
8,3,4,3,0,1,5,4,3,0,Active,0,OH,5,0,0,0,0.9509221477,0.0490778523
1,1,8,4,0,3,8,6,1,0,Active,0,WA,7,0,0,0,0.9685476021,0.0314523979
5,8,4,5,0,0,1,5,6,1,Active,0,MI,6,1,0,0,0.9614851836,0.0385148164
8,7,4,2,0,0,3,1,1,0,Active,0,MO,4,1,0,0,0.9331031037,0.0668968963
9,7,5,5,0,0,5,5,5,0,Active,0,NE,6,1,0,0,0.9614851836,0.0385148164
8,3,1,5,0,3,3,6,2,4,Active,0,ID,3,0,0,0,0.9739501153,0.0260498847
8,8,2,7,0,0,0,0,0,2,Active,0,LA,0,1,0,0,0.9735446381,0.0264553619
7,5,4,8,0,4,4,7,5,3,Active,0,NV,7,0,0,0,0.9871065254,0.0128934746
0,8,4,6,0,1,3,3,4,1,Active,0,UT,8,1,0,0,0.9719713016,0.0280286984
3,6,2,5,0,0,4,3,4,0,Active,0,TN,0,1,0,0,0.9614851836,0.0385148164
9,1,0,0,0,0,1,0,1,0,Active,0,MO,4,1,0,0,0.9044186335,0.0955813665
1,5,4,1,0,2,3,6,5,3,Active,0,WA,7,0,0,0,0.9376499679,0.0623500321
1,2,4,3,0,0,5,3,2,0,Active,0,IN,3,0,0,0,0.9442433624,0.0557566376
8,5,1,3,0,2,7,3,3,0,Active,0,IL,6,1,0,0,0.9568374871,0.0431625129
1,4,4,4,0,1,4,3,3,1,Active,0,OR,3,0,0,0,0.9592246932,0.0407753068
0,4,4,1,0,0,4,1,2,0,Active,0,MO,4,1,0,0,0.9199257618,0.0800742382
7,2,4,5,0,3,5,7,2,2,Active,0,CO,8,0,0,0,0.9739501153,0.0260498847
1,7,4,4,0,0,2,0,0,0,Active,0,VA,8,1,0,0,0.9536206577,0.0463793423
8,2,0,9,0,2,6,6,2,0,Active,0,TX,2,0,0,0,0.9861128553,0.0138871447
0,0,2,4,0,1,9,7,0,0,Active,0,CA,7,0,0,0,0.9592246932,0.0407753068
8,1,4,4,0,4,8,7,1,1,Active,0,TX,2,0,0,0,0.9724002094,0.0275997906
8,3,2,6,0,0,7,2,2,0,Active,0,TX,2,1,0,0,0.9680607902,0.0319392098
7,4,4,7,0,0,1,0,1,1,Active,0,FL,1,1,0,0,0.9735446381,0.0264553619
4,7,4,5,0,1,3,4,5,1,Active,0,CA,7,1,0,0,0.9661726537,0.0338273463
9,6,2,3,0,0,1,2,3,2,Active,0,NC,0,1,0,0,0.9442433624,0.0557566376
3,3,2,3,0,2,5,5,3,1,Active,0,NC,0,0,0,0,0.9568374871,0.0431625129
4,1,4,4,0,3,5,7,1,1,Active,0,NC,0,0,0,0,0.9685476021,0.0314523979
3,3,4,4,0,0,3,0,1,0,Active,0,LA,0,1,0,0,0.9536206577,0.0463793423
0,4,4,3,0,0,1,0,0,0,Active,0,CA,7,1,0,0,0.9442433624,0.0557566376
1,1,4,8,0,7,2,8,1,9,Active,0,NJ,9,0,0,0,0.9913539342,0.0086460658
5,3,0,7,0,0,0,1,1,1,Active,0,AR,0,1,0,0,0.9735446381,0.0264553619
5,2,1,7,0,5,4,5,2,5,Active,0,AZ,3,0,0,0,0.9863284065,0.0136715935
5,0,0,5,0,1,9,8,0,0,Active,0,WA,7,0,0,0,0.9661726537,0.0338273463
7,8,2,5,0,0,2,2,2,1,Active,0,FL,1,1,0,0,0.9614851836,0.0385148164
2,3,4,4,0,0,4,2,2,0,Active,0,MI,6,0,0,0,0.9536206577,0.0463793423
5,0,8,7,0,0,6,1,0,0,Active,0,TN,0,0,0,0,0.9735446381,0.0264553619
5,9,3,4,0,0,0,0,0,2,Active,0,WA,7,1,0,0,0.9536206577,0.0463793423
1,5,4,7,0,1,4,8,5,0,Active,0,NY,5,0,0,0,0.9767998197,0.0232001803
5,9,2,6,0,0,1,0,0,0,Active,0,FL,1,1,0,0,0.9680607902,0.0319392098
7,8,0,5,0,3,9,5,5,0,Active,0,VA,8,1,0,0,0.9739501153,0.0260498847
1,9,2,8,0,2,1,4,4,6,Active,0,PA,5,1,0,0,0.9831892472,0.0168107528
3,6,2,5,0,1,2,5,5,3,Active,0,OR,3,1,0,0,0.9661726537,0.0338273463
0,8,2,3,0,1,3,1,1,1,Active,0,TX,2,1,0,0,0.9509221477,0.0490778523
2,8,1,2,0,0,0,0,0,0,Active,0,KS,4,1,0,0,0.9331031037,0.0668968963
3,8,1,3,0,3,4,6,6,3,Active,0,MD,9,1,0,0,0.9620682925,0.0379317075
7,9,2,3,0,8,6,9,9,8,Active,0,NY,5,0,0,0,0.9802853637,0.0197146363
8,7,4,6,0,1,2,4,4,2,Active,0,OR,3,1,0,0,0.9719713016,0.0280286984
2,2,1,7,0,3,7,7,2,1,Active,0,OR,3,0,0,0,0.9821789893,0.0178210107
2,2,4,6,0,7,9,9,2,0,Active,0,TX,2,0,0,0,0.9873068518,0.0126931482
3,3,0,6,0,5,9,8,3,0,Active,0,NY,5,0,0,0,0.983449416,0.016550584
8,3,4,5,0,3,9,7,3,0,Active,0,CO,8,0,0,0,0.9739501153,0.0260498847
7,8,0,4,0,9,9,9,8,3,Active,0,CO,8,0,0,0,0.9857288824,0.0142711176
9,1,0,4,0,0,2,1,1,0,Active,0,TX,2,0,0,0,0.9536206577,0.0463793423
9,6,8,4,0,0,0,0,0,1,Active,0,IA,3,1,0,0,0.9536206577,0.0463793423
5,0,6,1,0,5,6,7,0,3,Active,0,TX,2,0,0,0,0.9574878504,0.0425121496
3,2,0,9,0,8,9,9,2,0,Active,0,OH,5,0,0,0,0.9937607,0.0062393
0,5,1,9,0,6,9,9,4,0,Active,0,VA,8,0,0,0,0.9918483891,0.0081516109
9,1,1,1,0,1,6,3,1,0,Active,0,MD,9,0,0,0,0.9292993178,0.0707006822
7,4,0,3,0,6,9,9,4,0,Active,0,NY,5,0,0,0,0.9743495415,0.0256504585
6,9,4,2,0,4,6,9,9,2,Active,0,NJ,9,0,0,0,0.9598405962,0.0401594038
3,5,2,4,0,3,3,7,5,4,Active,0,CA,7,0,0,0,0.9685476021,0.0314523979
7,5,4,3,0,1,4,3,3,0,Active,0,MT,0,1,0,0,0.9509221477,0.0490778523
7,5,8,9,0,2,0,0,0,9,Active,0,MO,4,1,0,0,0.9861128553,0.0138871447
5,7,1,5,1,0,0,0,0,6,Active,0,AL,0,1,0,0,0.9709293017,0.0290706983
3,0,8,4,1,2,3,0,0,3,Active,0,LA,0,1,0,0,0.9729796351,0.0270203649
2,8,6,1,0,0,0,0,0,4,Active,0,PA,5,1,0,0,0.9199257618,0.0800742382
5,4,3,1,1,0,0,0,0,4,Active,0,TX,2,1,0,0,0.9389131044,0.0610868956
5,7,9,9,0,0,0,0,0,0,Active,0,NC,0,1,0,0,0.9818992174,0.0181007826
1,8,2,5,0,0,0,0,0,2,Active,0,OH,5,1,0,0,0.9614851836,0.0385148164
3,8,8,3,1,0,0,0,0,8,Active,0,OH,5,1,0,0,0.9577294315,0.0422705685
4,8,4,7,0,0,1,0,0,0,Active,0,TN,0,1,0,0,0.9735446381,0.0264553619
5,6,4,5,1,0,0,0,0,3,Active,0,PA,5,1,0,0,0.9709293017,0.0290706983
0,6,4,9,0,0,0,0,0,1,Active,0,TX,2,1,0,0,0.9818992174,0.0181007826
4,2,9,7,0,7,6,0,0,6,Active,0,SC,1,1,0,0,0.9895219866,0.0104780134
8,9,4,2,1,0,0,0,0,5,Active,0,PA,5,1,0,0,0.9491385688,0.0508614312
9,3,1,2,0,0,0,0,0,2,Active,0,MI,6,1,0,0,0.9331031037,0.0668968963
8,1,4,6,0,0,1,0,0,2,Active,0,OH,5,1,0,0,0.9680607902,0.0319392098
6,7,2,4,0,0,0,0,0,0,Active,0,VA,8,1,0,0,0.9536206577,0.0463793423
2,8,4,1,1,0,0,0,0,1,Active,0,KS,4,1,0,0,0.9389131044,0.0610868956
7,9,2,7,0,0,0,0,0,0,Active,0,PA,5,1,0,0,0.9735446381,0.0264553619
0,5,8,7,1,0,0,0,0,2,Active,0,IA,3,1,0,0,0.9800929134,0.0199070866
3,3,8,9,0,0,0,0,0,3,Active,0,PA,5,1,0,0,0.9818992174,0.0181007826
7,8,9,8,1,0,0,0,0,8,Active,0,CT,9,1,0,0,0.9835460022,0.0164539978
8,6,4,5,1,0,3,0,0,0,Active,0,PA,5,1,0,0,0.9709293017,0.0290706983
0,5,5,3,0,2,4,0,0,1,Active,0,TX,2,1,0,0,0.9568374871,0.0431625129
2,8,8,5,1,0,0,0,0,5,Active,0,KS,4,1,0,0,0.9709293017,0.0290706983
7,7,8,7,0,1,2,0,0,2,Active,0,TN,0,1,0,0,0.9767998197,0.0232001803
8,7,1,2,1,0,0,0,0,5,Active,0,LA,0,1,0,0,0.9491385688,0.0508614312
5,2,8,3,1,0,1,0,0,1,Active,0,TX,2,1,0,0,0.9577294315,0.0422705685
3,6,4,5,0,0,0,0,0,1,Active,0,MO,4,1,0,0,0.9614851836,0.0385148164
7,8,2,4,0,0,1,0,0,2,Active,0,ID,3,1,0,0,0.9536206577,0.0463793423
2,9,2,5,1,0,0,0,0,1,Active,0,MO,4,1,0,0,0.9709293017,0.0290706983
2,6,5,3,0,0,1,0,0,1,Active,0,OH,5,1,0,0,0.9442433624,0.0557566376
9,6,8,3,0,0,0,0,0,5,Active,0,PA,5,1,0,0,0.9442433624,0.0557566376
1,6,3,2,0,0,1,0,0,2,Active,0,PA,5,1,0,0,0.9331031037,0.0668968963
3,4,3,4,1,0,0,0,0,4,Active,0,LA,0,1,0,0,0.9649228619,0.0350771381
9,3,1,0,1,0,0,0,0,0,Active,0,KS,4,1,0,0,0.9267904239,0.0732095761
9,6,1,8,0,0,0,0,0,0,Active,0,MI,6,1,0,0,0.9781082214,0.0218917786
8,8,0,4,0,0,1,0,0,1,Active,0,PA,5,1,0,0,0.9536206577,0.0463793423
0,6,9,8,0,0,0,0,0,6,Active,0,IL,6,1,0,0,0.9781082214,0.0218917786
5,9,2,2,0,0,0,0,0,0,Active,0,PA,5,1,0,0,0.9331031037,0.0668968963
5,5,1,1,1,2,1,0,0,4,Active,0,IN,3,1,0,0,0.9526508364,0.0473491636
3,7,2,0,1,0,0,0,0,4,Active,0,KS,4,1,0,0,0.9267904239,0.0732095761
3,8,9,2,0,0,0,0,0,5,Active,0,PA,5,1,0,0,0.9331031037,0.0668968963
0,7,2,2,0,1,2,0,0,2,Active,0,AL,0,1,0,0,0.9410329863,0.0589670137
5,6,8,2,0,0,0,0,0,8,Active,0,MO,4,1,0,0,0.9331031037,0.0668968963
6,7,6,8,0,3,2,0,0,6,Active,0,NY,5,1,0,0,0.985275663,0.014724337
1,1,8,7,0,5,4,0,0,5,Active,0,CA,7,1,0,0,0.9863284065,0.0136715935
5,2,0,6,0,1,0,0,0,5,Active,0,TX,2,1,0,0,0.9719713016,0.0280286984
3,9,2,1,0,1,1,0,0,3,Active,0,IA,3,1,0,0,0.9292993178,0.0707006822
9,7,4,3,0,4,0,0,0,9,Active,0,NE,6,1,0,0,0.9666872539,0.0333127461
5,4,8,1,1,0,0,0,0,4,Active,0,LA,0,1,0,0,0.9389131044,0.0610868956
9,3,1,0,1,0,0,0,0,3,Active,0,KS,4,1,0,0,0.9267904239,0.0732095761
7,9,9,8,0,0,0,0,0,0,Active,0,AZ,3,1,0,0,0.9781082214,0.0218917786
9,5,4,1,0,2,0,0,0,8,Active,0,OH,5,1,0,0,0.9376499679,0.0623500321
